txn_id,auth_id,card_id,merchant_id,txn_amount_usd,txn_currency,txn_timestamp,txn_type,txn_status,settlement_date,pos_entry_mode,acquirer_ref,interchange_fee_usd,processing_fee_usd,is_cross_border,exchange_rate
TXN0000001,AUTH000240,CRD00101,MER0005,438.48,EUR,2023-08-25 22:57:40,BALANCE_INQUIRY,PENDING,2024-05-23 13:18:02,CONTACTLESS,ACQ793013,8.65,2.66,True,1.2392
TXN0000002,AUTH000050,CRD00104,MER0015,2657.67,GBP,2024-11-16 15:09:05,REFUND,PENDING,2024-03-15 10:35:56,MANUAL,ACQ496566,34.75,1.62,False,0.9223
TXN0000003,AUTH000032,CRD00018,MER0001,1296.12,USD,2024-04-01 04:32:52,REFUND,FAILED,2024-11-02 15:29:29,SWIPE,ACQ443598,12.43,3.17,False,1.2258
TXN0000004,AUTH000415,CRD00195,MER0009,2570.59,EUR,2023-06-12 12:28:15,PURCHASE,REVERSED,2024-11-03 04:37:42,MANUAL,ACQ168024,8.45,1.97,True,0.9871
TXN0000005,AUTH000366,CRD00009,MER0017,2886.83,EUR,2023-09-07 23:13:04,CASH_ADVANCE,REVERSED,2024-10-04 22:20:24,ECOM,ACQ596771,13.49,2.03,True,1.0
TXN0000006,AUTH000153,CRD00038,MER0016,4512.69,USD,2023-06-07 16:12:12,BALANCE_INQUIRY,PENDING,2024-06-02 18:03:18,SWIPE,ACQ420863,21.31,1.92,False,0.9871
TXN0000007,AUTH000386,CRD00026,MER0016,478.24,GBP,2024-08-06 19:15:49,PURCHASE,FAILED,2024-06-21 15:05:23,MANUAL,ACQ468653,11.59,0.25,True,1.0
TXN0000008,AUTH000299,CRD00054,MER0019,3571.3,EUR,2023-12-02 22:29:23,BALANCE_INQUIRY,FAILED,2024-11-08 10:31:30,ECOM,ACQ432420,13.72,0.17,False,1.0
TXN0000009,AUTH000451,CRD00140,MER0020,3759.78,GBP,2024-12-01 04:43:40,PURCHASE,FAILED,2024-11-23 05:37:58,MANUAL,ACQ637700,27.38,0.44,False,0.8492
TXN0000010,AUTH000054,CRD00036,MER0014,966.16,GBP,2024-02-29 02:39:48,REFUND,FAILED,2024-03-17 08:52:35,CONTACTLESS,ACQ362168,15.21,4.09,True,0.8953
TXN0000011,AUTH000426,CRD00119,MER0008,3238.09,GBP,2024-10-26 02:20:25,CASH_ADVANCE,SETTLED,2024-10-26 01:37:45,CONTACTLESS,ACQ395536,41.13,3.93,False,1.2109
TXN0000012,AUTH000458,CRD00200,MER0013,4144.78,GBP,2024-05-23 01:08:26,REFUND,REVERSED,2024-03-29 09:11:07,SWIPE,ACQ858472,37.48,2.4,True,1.0
TXN0000013,AUTH000389,CRD00020,MER0010,2493.11,EUR,2024-07-15 04:34:08,BALANCE_INQUIRY,FAILED,2024-11-03 13:10:54,CHIP,ACQ428282,42.31,2.17,True,1.0
TXN0000014,AUTH000308,CRD00037,MER0018,3738.06,USD,2024-03-09 18:12:11,PURCHASE,FAILED,2024-02-23 23:06:35,MANUAL,ACQ234580,15.35,3.7,False,1.2171
TXN0000015,AUTH000240,CRD00101,MER0005,422.86,EUR,2023-11-27 15:59:01,BALANCE_INQUIRY,FAILED,2024-05-06 15:16:52,MANUAL,ACQ124368,28.42,0.21,False,1.0
TXN0000016,AUTH000235,CRD00005,MER0013,2852.49,GBP,2024-09-12 17:09:25,BALANCE_INQUIRY,REVERSED,2024-03-20 07:19:29,ECOM,ACQ166803,26.77,0.98,False,1.0
TXN0000017,AUTH000318,CRD00189,MER0013,1592.58,GBP,2023-08-25 15:00:11,PURCHASE,PENDING,2024-02-10 12:16:09,MANUAL,ACQ286264,1.7,3.46,False,1.0
